rung,seed,model_sha256,mean_eval_return,success_rate,planner_candidate_transition_count,oracle_candidate_transition_count
exact_target_learned_reward,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,2.6459145888053195,0.0,129024,129024
exact_online_learned_reward,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,3.1724287801114173,0.5,129024,129024
exact_online_oracle_reward,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,5.42132211975797,1.0,129024,129024
exact_raw,5,cd330704b1306b71e416625c2ef37bc2ea2532df3eeecfb2cf3ac43cfbf0e90c,5.42132211975797,1.0,129024,129024
learned_tsinf_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,0.018816193794713887,0.0,129024,0
learned_tsinf_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,0.15340411475813062,0.0,129024,0
learned_mean_no_penalty,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,-4.978697341049349,0.0,129024,0
exact_target_learned_reward,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,3.065062101634093,1.0,129024,129024
exact_online_learned_reward,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,3.82820053690989,1.0,129024,129024
exact_online_oracle_reward,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,5.1347622113894404,1.0,129024,129024
exact_raw,6,62fd697ecb0a20fbd198e49c30bfb8b6b4206f552e6ec8186cea79aecced8207,5.1347622113894404,1.0,129024,129024
learned_tsinf_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,-2.3006475255520695,0.0,129024,0
learned_tsinf_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,-2.2919119597162787,0.0,129024,0
learned_mean_no_penalty,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,-5.673877804957551,0.0,129024,0
exact_target_learned_reward,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,3.3228643884629636,1.0,129024,129024
exact_online_learned_reward,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,1.9256120582548917,0.25,129024,129024
exact_online_oracle_reward,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,5.02344512640607,1.0,129024,129024
exact_raw,7,a9e641b9f6d504fbb4909e2ecd718deabf9948d13aa70bf68e27ac11fb10766e,5.02344512640607,1.0,129024,129024
prefix_1_target_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,3.3629846717654326,0.25,129024,10752
prefix_2_target_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,4.55121059078582,1.0,129024,21504
prefix_4_target_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,3.5596013438039322,1.0,129024,43008
prefix_8_target_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,3.7242210303954786,1.0,129024,86016
prefix_1_target_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-11.864166963939024,0.5,129024,10752
prefix_2_target_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-13.417383663331046,0.0,129024,21504
prefix_4_target_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-5.827859527524762,0.0,129024,43008
prefix_8_target_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,2.6596698129364453,1.0,129024,86016
